Date,Open,High,Low,Close,Volume,Adj Clos
2010-12-31,3.64,3.64,3.64,3.64,000,3.6
2010-12-30,3.64,3.64,3.64,3.64,000,3.6
2010-12-29,3.64,3.64,3.64,3.64,000,3.6
2010-12-28,3.64,3.64,3.64,3.64,000,3.6
2010-12-27,3.64,3.64,3.64,3.64,000,3.6
2010-12-24,3.64,3.64,3.64,3.64,000,3.6
2010-12-23,3.64,3.64,3.64,3.64,000,3.6
2010-12-22,3.64,3.64,3.64,3.64,000,3.6
2010-12-21,3.64,3.64,3.64,3.64,000,3.6
2010-12-20,3.64,3.64,3.64,3.64,000,3.6
2010-12-17,3.64,3.64,3.64,3.64,000,3.6
2010-12-16,3.64,3.64,3.64,3.64,000,3.6
2010-12-15,3.64,3.64,3.64,3.64,000,3.6
2010-12-14,3.64,3.64,3.64,3.64,000,3.6
2010-12-13,3.64,3.64,3.64,3.64,000,3.6
2010-12-10,3.64,3.64,3.64,3.64,000,3.6
2010-12-09,3.64,3.64,3.64,3.64,000,3.6
2010-12-08,3.64,3.64,3.64,3.64,000,3.6
2010-12-07,3.64,3.64,3.64,3.64,000,3.6
2010-12-06,3.64,3.64,3.64,3.64,000,3.6
2010-12-03,3.64,3.64,3.64,3.64,000,3.6
2010-12-02,3.64,3.64,3.64,3.64,000,3.6
2010-12-01,3.64,3.64,3.64,3.64,000,3.6
2010-11-30,3.64,3.64,3.64,3.64,000,3.6
2010-11-29,3.64,3.64,3.64,3.64,000,3.6
2010-11-26,3.64,3.64,3.64,3.64,000,3.6
2010-11-25,3.64,3.64,3.64,3.64,000,3.6
2010-11-24,3.64,3.64,3.64,3.64,000,3.6
2010-11-23,3.64,3.64,3.64,3.64,000,3.6
2010-11-22,3.64,3.64,3.64,3.64,000,3.6
2010-11-19,3.64,3.64,3.64,3.64,000,3.6
2010-11-18,3.64,3.64,3.64,3.64,000,3.6
2010-11-17,3.64,3.64,3.64,3.64,000,3.6
2010-11-16,3.64,3.64,3.64,3.64,000,3.6
2010-11-15,3.64,3.64,3.64,3.64,000,3.6
2010-11-12,3.64,3.64,3.64,3.64,000,3.6
2010-11-11,3.64,3.64,3.64,3.64,000,3.6
2010-11-10,3.64,3.64,3.64,3.64,000,3.6
2010-11-09,3.64,3.64,3.64,3.64,000,3.6
2010-11-08,3.64,3.64,3.64,3.64,000,3.6
2010-11-05,3.64,3.64,3.64,3.64,000,3.6
2010-11-04,3.64,3.64,3.64,3.64,000,3.6
2010-11-03,3.64,3.64,3.64,3.64,000,3.6
2010-11-02,3.64,3.64,3.64,3.64,000,3.6
2010-11-01,3.64,3.64,3.64,3.64,000,3.6
2010-10-29,3.64,3.64,3.64,3.64,000,3.6
2010-10-28,3.64,3.64,3.64,3.64,000,3.6
2010-10-27,3.64,3.64,3.64,3.64,000,3.6
2010-10-26,3.64,3.64,3.64,3.64,000,3.6
2010-10-25,3.64,3.64,3.64,3.64,000,3.6
2010-10-22,3.64,3.64,3.64,3.64,000,3.6
2010-10-21,3.64,3.64,3.64,3.64,000,3.6
2010-10-20,3.64,3.64,3.64,3.64,000,3.6
2010-10-19,3.64,3.64,3.64,3.64,000,3.6
2010-10-18,3.64,3.64,3.64,3.64,000,3.6
2010-10-15,3.64,3.64,3.64,3.64,000,3.6
2010-10-14,3.64,3.64,3.64,3.64,000,3.6
2010-10-13,3.64,3.64,3.64,3.64,000,3.6
2010-10-12,3.64,3.64,3.64,3.64,000,3.6
2010-10-11,3.64,3.64,3.64,3.64,000,3.6
2010-10-08,3.64,3.64,3.64,3.64,000,3.6
2010-10-07,3.64,3.64,3.64,3.64,000,3.6
2010-10-06,3.64,3.64,3.64,3.64,000,3.6
2010-10-05,3.64,3.64,3.64,3.64,000,3.6
2010-10-04,3.64,3.64,3.64,3.64,000,3.6
2010-10-01,3.64,3.64,3.64,3.64,000,3.6
2010-09-30,3.64,3.64,3.64,3.64,000,3.6
2010-09-29,3.64,3.64,3.64,3.64,000,3.6
2010-09-28,3.64,3.64,3.64,3.64,000,3.6
2010-09-27,3.64,3.64,3.64,3.64,000,3.6
2010-09-24,3.64,3.64,3.64,3.64,000,3.6
2010-09-23,3.64,3.64,3.64,3.64,000,3.6
2010-09-22,3.64,3.64,3.64,3.64,000,3.6
2010-09-21,3.64,3.64,3.64,3.64,000,3.6
2010-09-20,3.64,3.64,3.64,3.64,000,3.6
2010-09-17,3.64,3.64,3.64,3.64,000,3.6
2010-09-16,3.64,3.64,3.64,3.64,000,3.6
2010-09-15,3.64,3.64,3.64,3.64,000,3.6
2010-09-14,3.64,3.64,3.64,3.64,000,3.6
2010-09-13,3.64,3.64,3.64,3.64,000,3.6
2010-09-10,3.64,3.64,3.64,3.64,000,3.6
2010-09-09,3.64,3.64,3.64,3.64,000,3.6
2010-09-08,3.64,3.64,3.64,3.64,000,3.6
2010-09-07,3.64,3.64,3.64,3.64,000,3.6
2010-09-06,3.64,3.64,3.64,3.64,000,3.6
2010-09-03,3.64,3.64,3.64,3.64,000,3.6
2010-09-02,3.64,3.64,3.64,3.64,000,3.6
2010-09-01,3.64,3.64,3.64,3.64,000,3.6
2010-08-31,3.64,3.64,3.64,3.64,000,3.6
2010-08-30,3.64,3.64,3.64,3.64,000,3.6
2010-08-27,3.64,3.64,3.64,3.64,000,3.6
2010-08-26,3.64,3.64,3.64,3.64,000,3.6
2010-08-25,3.64,3.64,3.64,3.64,000,3.6
2010-08-24,3.64,3.64,3.64,3.64,000,3.6
2010-08-23,3.64,3.64,3.64,3.64,000,3.6
2010-08-20,3.64,3.64,3.64,3.64,000,3.6
2010-08-19,3.64,3.64,3.64,3.64,000,3.6
2010-08-18,3.64,3.64,3.64,3.64,000,3.6
2010-08-17,3.64,3.64,3.64,3.64,000,3.6
2010-08-16,3.64,3.64,3.64,3.64,000,3.6
2010-08-13,3.64,3.64,3.64,3.64,000,3.6
2010-08-12,3.64,3.64,3.64,3.64,000,3.6
2010-08-11,3.64,3.64,3.64,3.64,000,3.6
2010-08-10,3.64,3.64,3.64,3.64,000,3.6
2010-08-09,3.64,3.64,3.64,3.64,000,3.6
2010-08-06,3.64,3.64,3.64,3.64,000,3.6
2010-08-05,3.64,3.64,3.64,3.64,000,3.6
2010-08-04,3.64,3.64,3.64,3.64,000,3.6
2010-08-03,3.64,3.64,3.64,3.64,000,3.6
2010-08-02,3.64,3.64,3.64,3.64,000,3.6
2010-07-30,3.64,3.64,3.64,3.64,000,3.6
2010-07-29,3.64,3.64,3.64,3.64,000,3.6
2010-07-28,3.64,3.64,3.64,3.64,000,3.6
2010-07-27,3.64,3.64,3.64,3.64,000,3.6
2010-07-26,3.64,3.64,3.64,3.64,000,3.6
2010-07-23,3.64,3.64,3.64,3.64,000,3.6
2010-07-22,3.64,3.64,3.64,3.64,000,3.6
2010-07-21,3.64,3.64,3.64,3.64,000,3.6
2010-07-20,3.64,3.64,3.64,3.64,000,3.6
2010-07-19,3.64,3.64,3.64,3.64,000,3.6
2010-07-16,3.64,3.64,3.64,3.64,000,3.6
2010-07-15,3.64,3.64,3.64,3.64,000,3.6
2010-07-14,3.64,3.64,3.64,3.64,000,3.6
2010-07-13,3.64,3.64,3.64,3.64,000,3.6
2010-07-12,3.64,3.64,3.64,3.64,000,3.6
2010-07-09,3.64,3.64,3.64,3.64,000,3.6
2010-07-08,3.64,3.64,3.64,3.64,000,3.6
2010-07-07,3.64,3.64,3.64,3.64,000,3.6
2010-07-06,3.64,3.64,3.64,3.64,000,3.6
2010-07-05,3.64,3.64,3.64,3.64,000,3.6
2010-07-02,3.64,3.64,3.64,3.64,000,3.6
2010-07-01,3.64,3.64,3.64,3.64,000,3.6
2010-06-30,3.64,3.64,3.64,3.64,000,3.6
2010-06-29,3.64,3.64,3.64,3.64,000,3.6
2010-06-28,3.64,3.64,3.64,3.64,000,3.6
2010-06-25,3.64,3.64,3.64,3.64,000,3.6
2010-06-24,3.64,3.64,3.64,3.64,000,3.6
2010-06-23,3.64,3.64,3.64,3.64,000,3.6
2010-06-22,3.64,3.64,3.64,3.64,000,3.6
2010-06-21,3.64,3.64,3.64,3.64,000,3.6
2010-06-18,3.64,3.64,3.64,3.64,000,3.6
2010-06-17,3.64,3.64,3.64,3.64,000,3.6
2010-06-16,3.64,3.64,3.64,3.64,000,3.6
2010-06-15,3.64,3.64,3.64,3.64,000,3.6
2010-06-14,3.64,3.64,3.64,3.64,000,3.6
2010-06-11,3.64,3.64,3.64,3.64,000,3.6
2010-06-10,3.64,3.64,3.64,3.64,000,3.6
2010-06-09,3.64,3.64,3.64,3.64,000,3.6
2010-06-08,3.64,3.64,3.64,3.64,000,3.6
2010-06-07,3.64,3.64,3.64,3.64,000,3.6
2010-06-04,3.64,3.64,3.64,3.64,000,3.6
2010-06-03,3.64,3.64,3.64,3.64,000,3.6
